code,name,date,open,high,low,close,volume,amount
601857,中国石油,2024-04-30,9.11203788,9.3641496,9.05801394,9.24709773,245067206,2520669927.22
601857,中国石油,2024-05-06,9.00399,9.04000596,8.84191818,9.01299399,417952703,4142433777.41
601857,中国石油,2024-05-07,8.96797404,9.11203788,8.94996606,9.11203788,242615926,2439617959.9
601857,中国石油,2024-05-08,9.06701793,9.29211768,9.05801394,9.12104187,204559297,2083992060.79
601857,中国石油,2024-05-09,9.14805384,9.1840698,9.02199798,9.06701793,170534187,1720816933.97
601857,中国石油,2024-05-10,9.10303389,9.15705783,9.04900995,9.07602192,155578991,1571078590.01
601857,中国石油,2024-05-13,8.94096207,9.0940299,8.92295409,9.02199798,167112341,1674881462.16
601857,中国石油,2024-05-14,9.04000596,9.05801394,8.87793414,8.94096207,210858826,2092693112.09
601857,中国石油,2024-05-15,8.89594212,8.97697803,8.8239102,8.90494611,144959510,1432059273.1
601857,中国石油,2024-05-16,8.93195808,8.94996606,8.83291419,8.85092217,129952952,1279126307.78
601857,中国石油,2024-05-17,8.85092217,8.96797404,8.81490621,8.93195808,155688787,1539362563.62
601857,中国石油,2024-05-20,8.95897005,9.25610172,8.89594212,9.19307379,287740653,2905889836.51
601857,中国石油,2024-05-21,9.12104187,9.16606182,8.98598202,9.12104187,165579572,1673080165.06
601857,中国石油,2024-05-22,9.0940299,9.15705783,9.01299399,9.04900995,131460554,1323570323.98
601857,中国石油,2024-05-23,8.98598202,9.00399,8.90494611,8.92295409,128172137,1274158042.15
601857,中国石油,2024-05-24,8.92295409,9.05801394,8.90494611,8.97697803,131032908,1307904543.57
601857,中国石油,2024-05-27,8.98598202,9.2741097,8.98598202,9.22008576,224801370,2292678373.79
601857,中国石油,2024-05-28,9.22908975,9.4541895,9.20207778,9.35514561,211589081,2201043402.28
601857,中国石油,2024-05-29,9.41817354,9.48120147,9.29211768,9.44518551,145369863,1520595892.52
601857,中国石油,2024-05-30,9.32813364,9.48120147,9.14805384,9.1840698,173354142,1790480147.78
601857,中国石油,2024-05-31,9.10303389,9.20207778,9.07602192,9.13004586,135394499,1374058265.34
601857,中国石油,2024-06-03,9.14805384,9.25610172,9.08502591,9.14805384,181787212,1851083077.88
601857,中国石油,2024-06-04,8.96797404,9.02199798,8.86893015,8.99498601,214128444,2130211896.58
601857,中国石油,2024-06-05,8.95897005,9.02199798,8.7338703,8.79689823,217594766,2140009481.8
601857,中国石油,2024-06-06,8.8239102,9.07602192,8.78789424,8.99498601,254753743,2539095881.55
601857,中国石油,2024-06-07,9.05801394,9.11203788,8.9139501,8.99498601,145314301,1453898755.05
601857,中国石油,2024-06-11,9.07602192,9.10303389,8.80590222,8.84191818,197392985,1953839971.29
601857,中国石油,2024-06-12,8.81490621,9.01299399,8.75187828,9.00399,172416942,1706992691.15
601857,中国石油,2024-06-13,9.01299399,9.03100197,8.87793414,8.92295409,120775559,1199428285.43
601857,中国石油,2024-06-14,8.88693813,8.9139501,8.8239102,8.85092217,125843905,1239005989.49
601857,中国石油,2024-06-17,8.8239102,8.85092217,8.67984636,8.68885035,155383510,1508379574.94
601857,中国石油,2024-06-18,8.72486631,8.78789424,8.58980646,8.78789424,143145064,1385664532.26
601857,中国石油,2024-06-19,8.78789424,8.94996606,8.76988626,8.90494611,147923871,1461070285.32
601857,中国石油,2024-06-20,8.88693813,9.07602192,8.87793414,9.05801394,226430922,2258647250.62
601857,中国石油,2024-06-21,9.04900995,9.21108177,8.94996606,8.97697803,177274620,1785322173.79
601857,中国石油,2024-06-24,8.95897005,9.06701793,8.95897005,9.03100197,118502694,1188036677.64
601857,中国石油,2024-06-25,9.03100197,9.1840698,8.97697803,9.04900995,159843932,1609730621.86
601857,中国石油,2024-06-26,9.05822704,9.06744192,8.87392944,8.9384336,130294612,1264405920.89
601857,中国石油,2024-06-27,8.90157408,8.984508,8.80942528,8.92921872,138692437,1340837540.81
601857,中国石油,2024-06-28,8.94764848,9.52818592,8.9384336,9.50975616,270254946,2723612874.02
601857,中国石油,2024-07-01,9.48211152,9.71248352,9.43603712,9.61111984,174330715,1809272312.66
601857,中国石油,2024-07-02,9.70326864,9.905996,9.60190496,9.82306208,177194919,1874149290.04
601857,中国石油,2024-07-03,9.8138472,9.89678112,9.64797936,9.74012816,138481809,1466419334.34
601857,中国石油,2024-07-04,9.74934304,9.87835136,9.74934304,9.80463232,120380662,1282164407.08
601857,中国石油,2024-07-05,9.79541744,9.8599216,9.52818592,9.71248352,165069007,1729155525.87
601857,中国石油,2024-07-08,9.62033472,9.905996,9.59269008,9.83227696,139077789,1479551352.78
601857,中国石油,2024-07-09,9.82306208,9.85070672,9.70326864,9.80463232,112851926,1199119686.71
601857,中国石油,2024-07-10,9.78620256,9.82306208,9.50054128,9.51897104,156758393,1635268558.75
