date,stock_name,close
2022-08-05,上证综指,3227.0267
2022-08-08,上证综指,3236.9337
2022-08-09,上证综指,3247.4318
2022-08-10,上证综指,3230.02
2022-08-11,上证综指,3281.6654
2022-08-12,上证综指,3276.8877
2022-08-15,上证综指,3276.087
2022-08-16,上证综指,3277.8847
2022-08-17,上证综指,3292.526
2022-08-18,上证综指,3277.5438
2022-08-19,上证综指,3258.0784
2022-08-22,上证综指,3277.7943
2022-08-23,上证综指,3276.2234
2022-08-24,上证综指,3215.2033
2022-08-25,上证综指,3246.2481
2022-08-26,上证综指,3236.2226
2022-08-29,上证综指,3240.7275
2022-08-30,上证综指,3227.2203
2022-08-31,上证综指,3202.1378
2022-09-01,上证综指,3184.9797
2022-09-02,上证综指,3186.4781
2022-09-05,上证综指,3199.9118
2022-09-06,上证综指,3243.4466
2022-09-07,上证综指,3246.2943
2022-09-08,上证综指,3235.5862
2022-09-09,上证综指,3262.0542
2022-09-13,上证综指,3263.7972
2022-09-14,上证综指,3237.5419
2022-09-15,上证综指,3199.9187
2022-09-16,上证综指,3126.3977
2022-09-19,上证综指,3115.6019
2022-09-20,上证综指,3122.4058
2022-09-21,上证综指,3117.1774
2022-09-22,上证综指,3108.9096
2022-09-23,上证综指,3088.3695
2022-09-26,上证综指,3051.226
2022-09-27,上证综指,3093.8618
2022-09-28,上证综指,3045.0668
2022-09-29,上证综指,3041.2046
2022-09-30,上证综指,3024.3905
2022-10-10,上证综指,2974.1454
2022-10-11,上证综指,2979.7926
2022-10-12,上证综指,3025.5055
2022-10-13,上证综指,3016.3561
2022-10-14,上证综指,3071.9868
2022-10-17,上证综指,3084.9423
2022-10-18,上证综指,3080.9574
2022-10-19,上证综指,3044.3777
2022-10-20,上证综指,3035.0504
2022-10-21,上证综指,3038.9291
2022-10-24,上证综指,2977.5554
2022-10-25,上证综指,2976.283
2022-10-26,上证综指,2999.5036
2022-10-27,上证综指,2982.9029
2022-10-28,上证综指,2915.9257
