code,name,date,open,high,low,close,volume,amount,daily_return
1,上证综指,2024-12-12,3432.2786,3464.1162,3425.9755,3461.4998,70009668900,734168982735.3,0.8451473510397767
1,上证综指,2024-12-13,3442.9259,3442.9259,3390.7537,3391.8782,77746414400,850714862974.4,-2.0113131307995413
1,上证综指,2024-12-16,3390.083,3401.9263,3376.5358,3386.3312,62557899600,675237492920.5,-0.1635377119378889
1,上证综指,2024-12-17,3381.8141,3396.2074,3357.7694,3361.485,56894150500,584789337297.5,-0.7337203165478923
1,上证综指,2024-12-18,3371.2955,3396.4603,3371.2955,3382.2081,51252497900,539790684420.2,0.6164864635718859
1,上证综指,2024-12-19,3355.9041,3377.5321,3346.469,3370.0331,51390906300,559130979000.3,-0.3599719366765064
1,上证综指,2024-12-20,3364.481,3390.6182,3362.8193,3368.0693,49096462100,596821938643.8,-0.05827242468330329
1,上证综指,2024-12-23,3367.9037,3384.9918,3348.277,3351.2571,55674724800,623117789296.1,-0.4991643135133894
1,上证综指,2024-12-24,3353.5354,3394.9044,3352.9474,3393.5281,47199267300,530758037565.0,1.261347570140181
1,上证综指,2024-12-25,3395.1072,3406.2125,3374.0113,3393.3501,47131559200,522168241894.2,-0.005245278505283668
1,上证综指,2024-12-26,3389.3383,3401.0951,3380.255,3398.0765,42217727100,518937022553.4,0.13928418408699628
1,上证综指,2024-12-27,3397.2939,3418.952,3388.3215,3400.142,50048813000,586090438939.4,0.060784387873535906
1,上证综指,2024-12-30,3395.3962,3412.8414,3394.9648,3407.3259,45526238300,522245330169.5,0.21128235232528159
1,上证综指,2024-12-31,3406.9652,3413.4545,3351.763,3351.763,50273106200,562584237431.1,-1.630689333239299
1,上证综指,2025-01-02,3347.9392,3351.722,3242.0865,3262.5607,56137519900,603340526739.8,-2.6613546363510765
1,上证综指,2025-01-03,3267.0766,3273.5656,3205.7755,3211.4299,51759201400,523159754706.6,-1.5671984279097106
1,上证综指,2025-01-06,3209.7832,3219.4877,3185.4631,3206.9228,43097840300,444188212831.1,-0.14034558250828333
1,上证综指,2025-01-07,3203.3068,3230.8529,3190.4612,3229.6439,40966052900,436388386572.0,0.7085016203071781
1,上证综指,2025-01-08,3218.8577,3246.2908,3175.7247,3230.1679,47286439000,508148444863.7,0.01622469895210532
1,上证综指,2025-01-09,3220.7205,3228.9725,3205.9103,3211.3933,38294355700,434445510330.2,-0.5812267529498927
1,上证综指,2025-01-10,3211.7068,3220.1073,3168.5238,3168.5238,40366334800,465939368047.4,-1.33491902097449
1,上证综指,2025-01-13,3148.8259,3172.7,3140.9775,3160.755,37274202300,411773991803.5,-0.24518673332988294
1,上证综指,2025-01-14,3165.1613,3245.2196,3159.432,3240.94,46921270400,538983836002.5,2.5368938750393477
1,上证综指,2025-01-15,3234.7152,3245.9042,3222.2359,3227.1167,40472319900,466216166943.7,-0.4265213178892502
1,上证综指,2025-01-16,3239.0261,3265.2824,3217.0966,3236.032,43065553900,499055442444.4,0.2762620886936018
1,上证综指,2025-01-17,3226.7616,3256.5067,3219.7734,3241.8212,38359926000,456553132960.4,0.17889810731166467
1,上证综指,2025-01-20,3256.1492,3268.2626,3238.1214,3244.3776,40333794800,469741031397.5,0.07885690919660071
1,上证综指,2025-01-21,3256.8325,3258.6103,3229.0689,3242.6226,38458371800,468263378897.7,-0.05409358022936406
1,上证综指,2025-01-22,3235.4925,3235.5013,3203.3801,3213.6237,36481751800,452312867431.3,-0.8943038884636212
1,上证综指,2025-01-23,3237.5988,3273.5203,3229.5716,3230.1637,45824680300,539800587226.6,0.5146837820495298
1,上证综指,2025-01-24,3222.8774,3260.0112,3221.7121,3252.6264,39865303300,480685057973.2,0.695404384613707
1,上证综指,2025-01-27,3256.6136,3274.3924,3250.6007,3250.6007,38746764200,450231535760.3,-0.0622789017515224
1,上证综指,2025-02-05,3270.1604,3271.022,3220.2794,3229.4876,40638818100,521103029344.4,-0.6495137960193076
1,上证综指,2025-02-06,3226.575,3271.4271,3225.8459,3270.6594,46084273000,590421697753.9,1.2748709733395591
1,上证综指,2025-02-07,3269.2269,3324.428,3262.5085,3303.6666,60055845100,757613811179.4,1.009190990660791
1,上证综指,2025-02-10,3308.04,3325.3558,3299.2429,3322.1698,54658974900,677038155519.9,0.5600807296959109
1,上证综指,2025-02-11,3323.6694,3324.1727,3304.4443,3318.0569,51194354100,632166670870.5,-0.12380161905030107
1,上证综指,2025-02-12,3312.2572,3346.3854,3310.3904,3346.3854,51343782800,647387578503.4,0.8537677578705827
1,上证综指,2025-02-13,3343.2347,3359.1807,3332.4826,3332.4826,56863116100,705799791954.1,-0.41545722737137414
1,上证综指,2025-02-14,3328.483,3349.0836,3322.5289,3346.7242,53233296500,667555376411.5,0.4273570700714213
1,上证综指,2025-02-17,3355.4171,3357.1212,3333.1948,3355.8296,58954656900,750113054935.2,0.27206902797667354
1,上证综指,2025-02-18,3348.9827,3366.0119,3314.3006,3324.4906,56267924000,696798784144.3,-0.9338674407067593
1,上证综指,2025-02-19,3320.7801,3352.0867,3320.5809,3351.5392,50291296500,675146370379.5,0.8136163777993533
1,上证综指,2025-02-20,3347.5893,3355.5571,3338.0335,3350.7833,50435711400,670099045657.4,-0.02255381646737442
1,上证综指,2025-02-21,3356.6947,3381.0575,3339.0256,3379.1128,60819020600,855656954773.5,0.8454590304302734
1,上证综指,2025-02-24,3374.0813,3384.8106,3355.8694,3373.0276,59818820300,802847050067.8,-0.18008277202229417
1,上证综指,2025-02-25,3345.6534,3369.5583,3337.8448,3346.0398,52757856200,727509770070.1,-0.8001061123840136
1,上证综指,2025-02-26,3351.2093,3380.2144,3351.2093,3380.2144,55399203100,747887357857.5,1.0213446953021954
1,上证综指,2025-02-27,3378.4494,3388.7808,3353.5712,3388.0622,57581502000,774059980112.0,0.2321687050383492
1,上证综指,2025-02-28,3374.6636,3383.1909,3318.7162,3320.8973,56831950400,758054890359.3,-1.9823986702487306
1,上证综指,2025-03-03,3328.3955,3349.0169,3304.5931,3316.9253,50241786200,643980682981.8,-0.11960622811191257
1,上证综指,2025-03-04,3300.498,3327.8242,3297.5304,3324.2099,42999611100,568728427190.7,0.21961905503267154
1,上证综指,2025-03-05,3324.6962,3342.7143,3314.1478,3341.9649,46095269600,587767599799.6,0.5341118802395739
1,上证综指,2025-03-06,3353.5703,3387.0538,3348.684,3381.0983,53999270900,736438106671.7,1.1709698088091969
1,上证综指,2025-03-07,3373.1808,3390.9442,3363.9288,3372.5458,51766355100,687879051004.4,-0.25295035048227277
1,上证综指,2025-03-10,3373.2588,3375.7978,3347.1859,3366.163,45038083200,595026433923.3,-0.18925762253546585
1,上证综指,2025-03-11,3335.4394,3379.8287,3334.8313,3379.8284,44846832300,592285777947.1,0.40596370407492977
1,上证综指,2025-03-12,3385.6853,3392.4086,3370.2204,3371.9235,50219510000,648501625854.2,-0.2338846552091267
1,上证综指,2025-03-13,3371.0945,3377.1183,3341.1182,3358.7285,51901347900,636211623471.0,-0.3913196725845003
1,上证综指,2025-03-14,3361.6861,3421.2333,3360.6063,3419.5616,58266338800,750041647163.9,1.8111943254716767
1,上证综指,2025-03-17,3430.8093,3436.3516,3422.4618,3426.1285,51568513800,639349980361.1,0.19203923684252278
1,上证综指,2025-03-18,3434.5653,3437.0654,3423.3005,3429.7593,45491606300,586338207325.5,0.10597384190349501
1,上证综指,2025-03-19,3424.1726,3439.0463,3414.5933,3426.4291,44031629900,559970207906.8,-0.09709719279717977
1,上证综指,2025-03-20,3425.2157,3427.0454,3404.662,3408.9482,45163068200,565607596558.8,-0.5101783661596859
1,上证综指,2025-03-21,3401.7593,3414.7094,3355.8396,3364.8307,52086263000,623164007297.2,-1.294167508910804
1,上证综指,2025-03-24,3364.8342,3373.6936,3340.2383,3370.0283,51331026000,586745474406.0,0.15446839569075443
1,上证综指,2025-03-25,3370.0008,3379.9884,3361.0462,3369.9763,45635739300,516435662209.0,-0.001543013748583899
1,上证综指,2025-03-26,3365.6658,3382.3424,3365.6658,3368.6973,42853377000,485185602278.8,-0.037952789163531175
1,上证综指,2025-03-27,3362.7123,3394.0349,3351.1739,3373.7489,41477631400,496457111680.0,0.14995707687954773
1,上证综指,2025-03-28,3372.0388,3375.0528,3346.0807,3351.3068,41228428900,468807615343.1,-0.6651976974338614
1,上证综指,2025-03-31,3343.3442,3361.7415,3317.7381,3335.7462,47257197800,531475775844.1,-0.464314398192367
1,上证综指,2025-04-01,3340.7121,3357.6215,3338.7788,3348.4351,42258867000,499415666019.2,0.38039164970045114
1,上证综指,2025-04-02,3344.1711,3361.134,3343.1155,3350.1266,35012736400,411666039517.9,0.050516135134293094
1,上证综指,2025-04-03,3319.6057,3358.4256,3319.6057,3342.0077,40051782700,486510412986.4,-0.2423460653695919
1,上证综指,2025-04-07,3193.1024,3217.7818,3040.6932,3096.5762,66219958400,735367327481.5,-7.343834067168675
1,上证综指,2025-04-08,3094.2619,3145.5491,3085.1229,3145.5491,66224238700,730166160654.7,1.581517677491684
1,上证综指,2025-04-09,3110.0101,3186.8099,3070.0778,3186.8099,68479717400,755430247444.1,1.3117201063559847
1,上证综指,2025-04-10,3227.8362,3239.9408,3201.5714,3223.6379,59120827300,682356544755.6,1.1556384332808811
1,上证综指,2025-04-11,3219.5053,3249.8536,3211.3497,3238.2268,47553180400,580791402193.7,0.45256013400263306
1,上证综指,2025-04-14,3251.9779,3272.7203,3244.7327,3262.8075,47137322000,543811431533.9,0.7590790120074242
1,上证综指,2025-04-15,3260.685,3268.9848,3246.3369,3267.6623,39666289500,456332610419.5,0.14879210618463645
1,上证综指,2025-04-16,3267.665,3276.0045,3233.7911,3276.0039,42953485400,489200692651.5,0.2552772971674555
1,上证综指,2025-04-17,3261.7177,3285.9154,3258.1451,3280.3412,38201269800,442596764018.0,0.13239605728185833
1,上证综指,2025-04-18,3270.3534,3283.0896,3262.3916,3276.7304,35883619300,380313472554.0,-0.11007391548171208
1,上证综指,2025-04-21,3273.1383,3298.6398,3270.0131,3291.4341,37930758800,429391687759.8,0.44873084462486723
1,上证综指,2025-04-22,3289.1664,3311.1529,3288.3316,3299.7571,40316761500,452675441997.0,0.25286849887105056
1,上证综指,2025-04-23,3308.1514,3312.1923,3293.0633,3296.3552,41163321200,486209315161.0,-0.10309546723907825
1,上证综指,2025-04-24,3295.1487,3313.5087,3286.2363,3297.2881,39284474900,434706037225.2,0.028300954945637002
1,上证综指,2025-04-25,3300.3916,3305.2618,3288.7545,3295.06,41104319200,445417627332.6,-0.0675737130765186
1,上证综指,2025-04-28,3292.0559,3296.9318,3279.8773,3288.4147,41066586300,441916383127.0,-0.20167462807961778
1,上证综指,2025-04-29,3281.4453,3294.9815,3277.6271,3286.6548,38896167200,430881033503.5,-0.05351818917486151
1,上证综指,2025-04-30,3284.0812,3292.2002,3277.5499,3279.0314,43579433500,505572584224.8,-0.23195012752784683
1,上证综指,2025-05-06,3295.2504,3316.4476,3286.9886,3316.1135,47436961700,551825065624.5,1.1308857853572274
1,上证综指,2025-05-07,3354.9737,3356.6884,3324.8088,3342.6651,51115960600,595230089056.8,0.8006842950339266
1,上证综指,2025-05-08,3331.2052,3359.7309,3327.9024,3351.9958,42837776600,501611375480.2,0.27913954048224277
1,上证综指,2025-05-09,3350.405,3351.2198,3335.127,3341.9989,39890919100,464862361533.5,-0.29823724719464373
1,上证综指,2025-05-12,3352.9698,3372.4724,3344.2687,3369.2445,41823991000,522080702357.3,0.8152486226132405
1,上证综指,2025-05-13,3386.2344,3386.2344,3370.2516,3374.8707,42624070000,506608943780.3,0.16698699070369916
1,上证综指,2025-05-14,3374.2353,3417.3142,3368.0781,3403.9481,46493444100,534872944626.8,0.8615856008942879
1,上证综指,2025-05-15,3398.4272,3402.8656,3378.0208,3380.8214,42410091600,461292249433.7,-0.6794081261109808
1,上证综指,2025-05-16,3374.7061,3380.29,3356.6609,3367.4619,39540103000,435647042664.2,-0.3951554495011167
1,上证综指,2025-05-19,3365.8823,3373.5994,3356.6483,3367.5829,40307480500,437177569219.3,0.0035932106611236136
